Date,Strategy_Value,Benchmark_Value
2020-05-12,1.0,1.0
2020-05-13,1.0,1.004320427308006
2020-05-14,1.0,0.9954000606625277
2020-05-15,1.0001,0.9991781533629971
2020-05-18,1.0001,0.9938970667200728
2020-05-19,1.0001,1.006423969390095
2020-05-20,1.0001,0.9958708845989743
2020-05-21,1.0002,0.9843464737366086
2020-05-22,0.9938,0.9665780674486039
2020-05-25,0.9896,0.9644695366718042
2020-05-26,1.0082,0.983264942864026
2020-05-27,1.0018,0.9740651730333296
2020-05-28,0.9991,0.9725536529580965
2020-05-29,1.0073,0.9807484094227191
2020-06-01,1.0411,1.010343106095568
2020-06-02,1.0401,1.0097923179180852
2020-06-03,1.0383,1.0108569416507753
2020-06-04,1.0402,1.0116625704947915
2020-06-05,1.0426,1.0132352973189485
2020-06-08,1.0405,1.0113995483689326
2020-06-09,1.0482,1.0177621840251474
2020-06-10,1.0421,1.0186446024862927
2020-06-11,1.0403,1.0139026576862904
2020-06-12,1.0394,1.014335349854439
2020-06-15,1.0396,1.0141823148414213
2020-06-16,1.0589,1.0331678719353088
2020-06-17,1.0681,1.0404454886235992
2020-06-18,1.0692,1.0402613060148784
2020-06-19,1.0735,1.0498296587515128
2020-06-22,1.0808,1.0492634328314887
2020-06-23,1.0758,1.0529489172174185
2020-06-24,1.0714,1.0501817880352597
2020-06-29,1.0604,1.0453470172322212
2020-06-30,1.0793,1.0638466573205738
2020-07-01,1.0844,1.0670160385627916
2020-07-02,1.1074,1.0839579904739514
2020-07-03,1.1256,1.0977867429156907
2020-07-06,1.1757,1.1428383205767874
2020-07-07,1.1763,1.1573821797294277
2020-07-08,1.2095,1.1855705724336703
2020-07-09,1.2392,1.2142927736126712
2020-07-10,1.2207,1.2111529980059732
2020-07-13,1.2577,1.2516213257809938
2020-07-14,1.248,1.2349698791683719
2020-07-15,1.2133,1.2043322913310635
2020-07-16,1.1638,1.1464924033971016
2020-07-17,1.1664,1.1509537658658633
2020-07-20,1.2031,1.1840136280255074
2020-07-21,1.2083,1.1906334263588843
2020-07-22,1.2096,1.201039916088341
2020-07-23,1.208,1.2009304550560331
2020-07-24,1.1667,1.139959027396823
2020-07-27,1.169,1.1426351446467495
2020-07-28,1.1852,1.1536880240850553
2020-07-29,1.2082,1.1846374325528475
2020-07-30,1.2116,1.1812205939122686
2020-07-31,1.2259,1.19359865207283
2020-08-03,1.2593,1.2226489823788418
2020-08-04,1.2478,1.215011490324472
2020-08-05,1.262,1.228641529450351
2020-08-06,1.2622,1.2281806466219098
2020-08-07,1.2378,1.2134105909807302
2020-08-10,1.2594,1.2200162395618366
2020-08-11,1.2334,1.1974404186585164
2020-08-12,1.2353,1.1842979654833121
2020-08-13,1.2477,1.188698320750938
2020-08-14,1.2616,1.2015612800373843
2020-08-17,1.2834,1.223508543547858
2020-08-18,1.291,1.2316448506511788
2020-08-19,1.271,1.2093093034258364
2020-08-20,1.2711,1.1961592855753798
2020-08-21,1.2818,1.2052585558835396
2020-08-24,1.2936,1.2134255570648627
2020-08-25,1.3061,1.2068192735589747
2020-08-26,1.2823,1.1838405838115225
2020-08-27,1.3016,1.1934393040934144
2020-08-28,1.3107,1.2138327978196322
2020-08-31,1.3082,1.2097009794531084
2020-09-01,1.3111,1.2173249385392813
2020-09-02,1.3147,1.2186125659958957
